Date,Document Number,Name,Item,Brand,Category,Quantity,Item Rate,Amount (Tax),Amount (Shipping),Amount (Transaction Total),Amount (Discount),Amount,Shipping State/Province
01/01/2022,SO1023,Birch & Co,Hand Lotion,Northwind,Beverages,91,24.88,152.83,48.06,2747.98,0.0,2547.09,MD
01/01/2022,SO1024,Riverside Market,Trail Mix,Aurora,Snacks,89,19.32,116.07,13.57,2064.06,0.0,1934.42,MD
01/01/2022,SO1025,Lakeside Provisions,Damaged,Vanta,Personal Care,9,15.44,0.0,0.0,0.0,0.0,173.95,
02/01/2022,SO1026,Birch & Co,Spring Water 24pk,Crestline,Beverages,75,20.78,113.76,19.74,2029.43,0.0,1895.93,DE
02/01/2022,SO1027,Oakwood Retail,Spring Water 24pk,Crestline,Household,12,3.23,2.83,40.77,90.75,0.0,47.15,CT
02/01/2022,SO1028,Cedar Mart,Spring Water 24pk,Northwind,Household,85,32.88,203.99,39.51,3643.39,0.0,3399.89,MA
02/01/2022,SO1029,Birch & Co,Spring Water 24pk,Northwind,Household,9,41.9,27.52,32.55,518.81,0.0,458.74,MD
02/01/2022,SO1030,Summit Foods,Dish Soap,Northwind,Snacks,32,39.25,91.68,31.16,1650.77,0.0,1527.93,MA
02/01/2022,SO1031,Willow Distributors,Dish Soap,Aurora,Personal Care,38,7.01,19.44,18.54,362.03,0.0,324.05,NJ
02/01/2022,SO1032,Oakwood Retail,Dish Soap,Aurora,Snacks,66,16.66,80.26,36.48,1454.36,0.0,1337.62,NJ
02/01/2022,SO1033,Willow Distributors,Spring Water 24pk,Northwind,Beverages,108,14.54,114.62,28.06,2052.98,0.0,1910.3,DE
02/01/2022,SO1034,Riverside Market,Cola 12pk,Vanta,Snacks,103,8.02,60.29,35.66,1100.86,0.0,1004.91,NY
02/01/2022,SO1035,Birch & Co,Trail Mix,Vanta,Household,5,33.31,12.16,11.8,226.57,0.0,202.61,MA
02/01/2022,SO1036,Harbor Wholesale,Cola 12pk,Vanta,Snacks,18,23.74,31.19,26.14,577.17,0.0,519.84,DE
02/01/2022,SO1037,Lakeside Provisions,Dish Soap,Crestline,Personal Care,19,7.66,10.62,21.97,209.64,0.0,177.05,MA
02/01/2022,SO1038,Riverside Market,Trail Mix,Vanta,Snacks,55,4.32,17.34,31.82,338.2,0.0,289.04,NJ
02/01/2022,SO1039,Maple Grocers,Cola 12pk,Crestline,Snacks,56,26.66,108.97,34.78,1959.95,0.0,1816.2,MA
02/01/2022,SO1040,Maple Grocers,Spring Water 24pk,Northwind,Beverages,105,13.47,103.23,20.52,1844.32,0.0,1720.57,NY
02/01/2022,SO1041,Maple Grocers,Dish Soap,Aurora,Beverages,47,11.53,39.55,47.14,745.93,0.0,659.24,MA
02/01/2022,SO1042,Pine Street Deli,Hand Lotion,Northwind,Snacks,75,15.17,83.04,8.06,1475.18,0.0,1384.08,MA
02/01/2022,SO1043,Willow Distributors,Cola 12pk,Northwind,Personal Care,70,29.22,149.29,14.78,2652.31,0.0,2488.24,NY
02/01/2022,SO1044,Lakeside Provisions,Trail Mix,Vanta,Beverages,10,22.17,16.18,10.92,296.8,0.0,269.7,NJ
02/01/2022,SO1045,Oakwood Retail,Hand Lotion,Vanta,Personal Care,88,40.49,260.07,26.97,4621.6,0.0,4334.56,CT
02/01/2022,SO1046,Riverside Market,Spring Water 24pk,Aurora,Personal Care,96,17.96,125.85,45.34,2268.64,0.0,2097.45,DE
02/01/2022,SO1047,Riverside Market,Trail Mix,Crestline,Snacks,5,12.57,4.59,21.36,102.41,0.0,76.46,NY
02/01/2022,SO1048,Summit Foods,Hand Lotion,Vanta,Snacks,81,39.15,231.46,0.35,4089.53,0.0,3857.72,PA
02/01/2022,SO1049,Harbor Wholesale,Spring Water 24pk,Vanta,Personal Care,76,25.43,141.07,24.24,2516.43,0.0,2351.12,MD
02/01/2022,SO1050,Maple Grocers,Cola 12pk,Aurora,Beverages,101,8.03,59.2,16.88,1062.7,0.0,986.62,NJ
02/01/2022,SO1051,Summit Foods,Hand Lotion,Northwind,Personal Care,83,10.07,61.01,10.94,1088.72,0.0,1016.77,CT
02/01/2022,SO1052,Harbor Wholesale,Lost,Aurora,Snacks,1,13.66,0.0,0.0,0.0,0.0,235.16,MD
03/01/2022,SO1053,Lakeside Provisions,Dish Soap,Aurora,Personal Care,6,32.92,14.81,7.4,269.11,0.0,246.9,PA
03/01/2022,SO1054,Birch & Co,Hand Lotion,Vanta,Snacks,60,4.55,20.47,30.48,392.2,0.0,341.25,NY
03/01/2022,SO1055,Harbor Wholesale,Spring Water 24pk,Crestline,Beverages,6,20.26,9.12,1.65,162.72,0.0,151.95,DE
03/01/2022,SO1056,Maple Grocers,Spring Water 24pk,Crestline,Personal Care,100,41.15,308.62,11.98,5464.35,0.0,5143.75,MA
03/01/2022,SO1057,Maple Grocers,Cola 12pk,Northwind,Beverages,6,25.3,11.38,22.39,223.52,0.0,189.75,MD
03/01/2022,SO1058,Riverside Market,Cola 12pk,Northwind,Beverages,74,13.17,73.09,33.61,1324.93,0.0,1218.23,DE
03/01/2022,SO1059,Lakeside Provisions,Spring Water 24pk,Northwind,Snacks,79,18.53,109.79,12.11,1951.74,0.0,1829.84,MA
03/01/2022,SO1060,Willow Distributors,Spring Water 24pk,Aurora,Personal Care,42,18.45,58.12,31.62,1058.36,0.0,968.62,DE
03/01/2022,SO1061,Pine Street Deli,Trail Mix,Crestline,Household,74,19.75,109.61,40.82,1977.31,0.0,1826.88,NY
03/01/2022,SO1062,Lakeside Provisions,Trail Mix,Crestline,Household,20,38.08,57.12,16.04,1025.16,0.0,952.0,CT
03/01/2022,SO1063,Riverside Market,Spring Water 24pk,Crestline,Personal Care,74,32.22,178.82,42.92,3202.09,0.0,2980.35,MA
03/01/2022,SO1064,Riverside Market,Cola 12pk,Aurora,Snacks,63,12.25,57.88,35.56,1058.13,0.0,964.69,MA
03/01/2022,SO1065,Summit Foods,Dish Soap,Crestline,Beverages,23,17.64,30.43,4.81,542.39,0.0,507.15,NY
03/01/2022,SO1066,Pine Street Deli,Trail Mix,Crestline,Personal Care,109,32.02,261.76,19.34,4643.83,0.0,4362.73,MD
03/01/2022,SO1067,Willow Distributors,Cola 12pk,Crestline,Beverages,86,38.18,246.26,33.78,4384.39,0.0,4104.35,DE
03/01/2022,SO1068,Riverside Market,Trail Mix,Crestline,Household,61,7.77,35.55,46.23,674.24,0.0,592.46,NJ
03/01/2022,SO1069,Birch & Co,Trail Mix,Aurora,Household,98,32.22,236.82,11.43,4195.2,0.0,3946.95,PA
03/01/2022,SO1070,Oakwood Retail,Trail Mix,Northwind,Household,20,37.32,55.98,27.76,1016.74,0.0,933.0,MA
03/01/2022,SO1071,Pine Street Deli,Spring Water 24pk,Vanta,Beverages,64,13.95,66.96,49.81,1232.77,0.0,1116.0,DE
03/01/2022,SO1072,Pine Street Deli,Spring Water 24pk,Vanta,Beverages,16,26.45,31.74,44.13,604.87,0.0,529.0,PA
03/01/2022,SO1073,Pine Street Deli,Trail Mix,Northwind,Personal Care,13,14.71,14.34,35.02,288.4,0.0,239.04,MA
03/01/2022,SO1074,Birch & Co,Spring Water 24pk,Vanta,Beverages,84,40.68,256.28,44.35,4572.03,0.0,4271.4,NJ
03/01/2022,SO1075,Birch & Co,Spring Water 24pk,Northwind,Household,37,29.97,83.17,4.21,1473.49,0.0,1386.11,MA
03/01/2022,SO1076,Lakeside Provisions,Trail Mix,Northwind,Beverages,76,35.98,205.09,33.45,3656.64,0.0,3418.1,PA
03/01/2022,SO1077,Oakwood Retail,Damaged,Crestline,Snacks,9,30.87,0.0,0.0,0.0,0.0,53.8,CT
04/01/2022,SO1078,Oakwood Retail,Cola 12pk,Aurora,Personal Care,70,32.06,163.8,32.6,2926.48,0.0,2730.08,MA
04/01/2022,SO1079,Harbor Wholesale,Trail Mix,Northwind,Snacks,45,10.39,34.13,0.9,603.81,0.0,568.78,CT
04/01/2022,SO1080,Summit Foods,Dish Soap,Aurora,Personal Care,18,16.67,21.9,37.32,424.24,0.0,365.02,MD
04/01/2022,SO1081,Pine Street Deli,Trail Mix,Northwind,Beverages,12,38.67,33.87,32.88,631.26,0.0,564.51,CT
04/01/2022,SO1082,Cedar Mart,Trail Mix,Aurora,Snacks,37,25.79,69.65,25.44,1255.92,0.0,1160.83,MD
04/01/2022,SO1083,Oakwood Retail,Dish Soap,Vanta,Snacks,90,14.14,92.89,12.2,1653.22,0.0,1548.13,NY
04/01/2022,SO1084,Harbor Wholesale,Hand Lotion,Aurora,Household,42,44.11,135.22,24.34,2413.28,0.0,2253.72,PA
04/01/2022,SO1085,Pine Street Deli,Dish Soap,Aurora,Personal Care,12,29.51,25.85,39.74,496.38,0.0,430.79,DE
04/01/2022,SO1086,Maple Grocers,Spring Water 24pk,Crestline,Household,34,30.09,74.67,33.45,1352.68,0.0,1244.56,NY
04/01/2022,SO1087,Maple Grocers,Spring Water 24pk,Crestline,Personal Care,101,11.2,82.57,36.12,1494.8,0.0,1376.11,PA
04/01/2022,SO1088,Lakeside Provisions,Cola 12pk,Crestline,Beverages,23,27.02,45.36,38.43,839.8,0.0,756.01,CT
04/01/2022,SO1089,Pine Street Deli,Spring Water 24pk,Northwind,Personal Care,21,44.77,68.62,23.5,1235.84,0.0,1143.72,NJ
04/01/2022,SO1090,Oakwood Retail,Hand Lotion,Northwind,Beverages,50,41.42,151.16,18.51,2689.05,0.0,2519.38,DE
04/01/2022,SO1091,Willow Distributors,Dish Soap,Crestline,Beverages,109,43.03,342.34,16.54,6064.62,0.0,5705.74,DE
04/01/2022,SO1092,Birch & Co,Dish Soap,Crestline,Personal Care,50,43.6,159.12,48.18,2859.28,0.0,2651.98,PA
04/01/2022,SO1093,Pine Street Deli,Cola 12pk,Vanta,Snacks,101,6.16,45.41,15.28,817.55,0.0,756.86,NY
04/01/2022,SO1094,Lakeside Provisions,Trail Mix,Vanta,Household,36,38.75,101.82,15.85,1814.7,0.0,1697.03,CT
04/01/2022,SO1095,Pine Street Deli,Dish Soap,Aurora,Snacks,22,26.39,42.38,46.81,795.47,0.0,706.28,CT
04/01/2022,SO1096,Cedar Mart,Hand Lotion,Crestline,Personal Care,62,42.06,190.34,3.52,3366.17,0.0,3172.31,DE
04/01/2022,SO1097,Harbor Wholesale,Volume Discount,Vanta,Snacks,1,-140.81,0.0,0.0,0.0,84.56,-65.75,DE
04/01/2022,SO1098,Riverside Market,Lost,Crestline,Beverages,1,38.64,0.0,0.0,0.0,0.0,152.47,CT
05/01/2022,SO1099,Harbor Wholesale,Trail Mix,Crestline,Snacks,52,26.22,92.03,14.83,1640.73,0.0,1533.87,NJ
05/01/2022,SO1100,Harbor Wholesale,Hand Lotion,Aurora,Beverages,30,37.02,74.97,43.35,1367.75,0.0,1249.43,CT
05/01/2022,SO1101,Willow Distributors,Trail Mix,Vanta,Personal Care,17,6.43,7.38,0.26,130.61,0.0,122.97,CT
05/01/2022,SO1102,Harbor Wholesale,Trail Mix,Vanta,Beverages,40,36.53,98.63,32.5,1774.98,0.0,1643.85,MD
05/01/2022,SO1103,Lakeside Provisions,Trail Mix,Aurora,Snacks,114,36.42,280.25,44.5,4995.61,0.0,4670.86,MD
05/01/2022,SO1104,Maple Grocers,Cola 12pk,Vanta,Snacks,91,4.16,25.55,28.94,480.37,0.0,425.88,MD
05/01/2022,SO1105,Cedar Mart,Trail Mix,Aurora,Personal Care,36,27.29,66.31,1.8,1173.35,0.0,1105.24,DE
05/01/2022,SO1106,Cedar Mart,Cola 12pk,Crestline,Personal Care,29,9.51,18.62,49.09,377.97,0.0,310.26,MD
05/01/2022,SO1107,Summit Foods,Hand Lotion,Vanta,Personal Care,26,27.81,48.81,1.53,863.78,0.0,813.44,PA
05/01/2022,SO1108,Pine Street Deli,Cola 12pk,Northwind,Personal Care,56,4.63,17.5,15.16,324.35,0.0,291.69,DE
05/01/2022,SO1109,Pine Street Deli,Hand Lotion,Northwind,Beverages,111,8.34,62.49,26.11,1130.06,0.0,1041.46,DE
05/01/2022,SO1110,Harbor Wholesale,Dish Soap,Crestline,Household,57,14.4,55.4,48.26,1027.06,0.0,923.4,PA
05/01/2022,SO1111,Summit Foods,Trail Mix,Aurora,Snacks,107,6.58,47.52,2.58,842.17,0.0,792.07,CT
05/01/2022,SO1112,Harbor Wholesale,Spring Water 24pk,Northwind,Personal Care,98,25.71,170.07,31.87,3036.47,0.0,2834.53,CT
05/01/2022,SO1113,Birch & Co,Hand Lotion,Crestline,Personal Care,56,8.58,32.43,48.48,621.45,0.0,540.54,NJ
05/01/2022,SO1114,Lakeside Provisions,Hand Lotion,Northwind,Beverages,110,16.56,122.96,39.76,2212.02,0.0,2049.3,MD
05/01/2022,SO1115,Cedar Mart,Spring Water 24pk,Vanta,Household,67,21.21,95.92,37.2,1731.82,0.0,1598.7,PA
05/01/2022,SO1116,Lakeside Provisions,Cola 12pk,Vanta,Snacks,94,4.06,25.76,48.13,503.23,0.0,429.34,CT
05/01/2022,SO1117,Pine Street Deli,Hand Lotion,Northwind,Personal Care,27,20.99,38.25,34.42,710.24,0.0,637.57,NJ
05/01/2022,SO1118,Oakwood Retail,Hand Lotion,Vanta,Snacks,5,10.28,3.47,7.82,69.11,0.0,57.82,MD
05/01/2022,SO1119,Summit Foods,Cola 12pk,Vanta,Beverages,38,13.07,33.52,4.69,596.95,0.0,558.74,CT
05/01/2022,SO1120,Riverside Market,Hand Lotion,Aurora,Snacks,93,30.73,192.91,14.0,3422.04,0.0,3215.13,MD
05/01/2022,SO1121,Summit Foods,Spring Water 24pk,Vanta,Household,20,24.7,33.34,32.86,621.95,0.0,555.75,CT
05/01/2022,SO1122,Oakwood Retail,Volume Discount,Northwind,Personal Care,1,-151.41,0.0,0.0,0.0,28.59,-121.89,PA
05/01/2022,SO1123,Oakwood Retail,Lost,Crestline,Personal Care,6,3.6,0.0,0.0,0.0,0.0,137.05,MA
06/01/2022,SO1124,Cedar Mart,Spring Water 24pk,Aurora,Beverages,51,4.71,14.41,42.77,297.39,0.0,240.21,PA
06/01/2022,SO1125,Riverside Market,Spring Water 24pk,Northwind,Beverages,73,22.92,100.39,4.89,1778.44,0.0,1673.16,NY
06/01/2022,SO1126,Maple Grocers,Cola 12pk,Northwind,Snacks,52,36.89,115.1,17.32,2050.7,0.0,1918.28,NY
06/01/2022,SO1127,Cedar Mart,Spring Water 24pk,Northwind,Snacks,98,30.29,178.11,2.4,3148.93,0.0,2968.42,CT
06/01/2022,SO1128,Oakwood Retail,Trail Mix,Crestline,Beverages,73,40.24,176.25,13.04,3126.81,0.0,2937.52,MD
06/01/2022,SO1129,Pine Street Deli,Spring Water 24pk,Northwind,Beverages,14,29.29,24.6,25.16,459.82,0.0,410.06,PA
06/01/2022,SO1130,Lakeside Provisions,Trail Mix,Vanta,Beverages,5,25.65,7.69,34.2,170.14,0.0,128.25,MA
06/01/2022,SO1131,Riverside Market,Dish Soap,Northwind,Beverages,20,5.96,7.15,32.12,158.47,0.0,119.2,MD
06/01/2022,SO1132,Oakwood Retail,Cola 12pk,Aurora,Personal Care,117,39.42,276.73,31.82,4920.69,0.0,4612.14,DE
06/01/2022,SO1133,Riverside Market,Cola 12pk,Crestline,Household,88,27.17,143.46,19.41,2553.83,0.0,2390.96,NJ
06/01/2022,SO1134,Cedar Mart,Spring Water 24pk,Vanta,Personal Care,37,22.25,49.4,27.28,899.93,0.0,823.25,PA
06/01/2022,SO1135,Summit Foods,Hand Lotion,Vanta,Snacks,105,29.29,184.53,41.02,3301.0,0.0,3075.45,DE
06/01/2022,SO1136,Willow Distributors,Cola 12pk,Crestline,Personal Care,44,41.02,108.29,9.79,1922.96,0.0,1804.88,CT
06/01/2022,SO1137,Willow Distributors,Dish Soap,Vanta,Household,17,12.01,12.25,18.86,235.28,0.0,204.17,MD
06/01/2022,SO1138,Riverside Market,Dish Soap,Northwind,Personal Care,119,28.97,206.85,16.83,3671.11,0.0,3447.43,NY
06/01/2022,SO1139,Willow Distributors,Cola 12pk,Vanta,Personal Care,94,16.4,92.5,42.24,1676.34,0.0,1541.6,PA
06/01/2022,SO1140,Cedar Mart,Dish Soap,Aurora,Snacks,94,17.31,97.63,13.03,1737.8,0.0,1627.14,CT
06/01/2022,SO1141,Oakwood Retail,Dish Soap,Northwind,Household,11,7.96,5.25,34.84,127.65,0.0,87.56,PA
06/01/2022,SO1142,Birch & Co,Spring Water 24pk,Crestline,Snacks,113,42.34,287.07,1.96,5073.45,0.0,4784.42,NJ
06/01/2022,SO1143,Lakeside Provisions,Hand Lotion,Northwind,Snacks,93,36.75,205.06,14.1,3636.91,0.0,3417.75,DE
06/01/2022,SO1144,Cedar Mart,Hand Lotion,Vanta,Beverages,14,20.79,17.46,28.43,336.95,0.0,291.06,NJ
06/01/2022,SO1145,Harbor Wholesale,Hand Lotion,Crestline,Snacks,103,44.6,275.63,20.63,4890.06,0.0,4593.8,PA
06/01/2022,SO1146,Willow Distributors,Volume Discount,Crestline,Personal Care,1,-159.75,0.0,0.0,0.0,81.34,-187.54,MA
07/01/2022,SO1147,Lakeside Provisions,Cola 12pk,Crestline,Household,59,34.54,106.99,37.73,1927.85,0.0,1783.13,PA
07/01/2022,SO1148,Pine Street Deli,Dish Soap,Vanta,Household,109,18.86,107.93,26.72,1933.42,0.0,1798.77,NY
07/01/2022,SO1149,Harbor Wholesale,Dish Soap,Aurora,Beverages,88,37.71,174.22,16.0,3093.89,0.0,2903.67,DE
07/01/2022,SO1150,Harbor Wholesale,Trail Mix,Northwind,Personal Care,63,7.2,23.81,2.67,423.38,0.0,396.9,PA
07/01/2022,SO1151,Riverside Market,Trail Mix,Crestline,Household,65,41.03,140.01,4.56,2478.15,0.0,2333.58,NY
07/01/2022,SO1152,Summit Foods,Dish Soap,Crestline,Beverages,75,43.19,170.06,33.84,3038.24,0.0,2834.34,DE
07/01/2022,SO1153,Pine Street Deli,Spring Water 24pk,Northwind,Beverages,56,27.08,79.62,31.59,1438.13,0.0,1326.92,MA
07/01/2022,SO1154,Summit Foods,Hand Lotion,Crestline,Beverages,73,15.31,58.68,16.43,1053.04,0.0,977.93,MD
07/01/2022,SO1155,Willow Distributors,Dish Soap,Aurora,Personal Care,89,34.6,161.67,39.58,2895.73,0.0,2694.48,CT
07/01/2022,SO1156,Oakwood Retail,Trail Mix,Vanta,Beverages,61,7.77,24.88,46.55,486.15,0.0,414.72,PA
07/01/2022,SO1157,Riverside Market,Spring Water 24pk,Vanta,Personal Care,62,5.42,17.64,27.48,339.16,0.0,294.04,CT
07/01/2022,SO1158,Willow Distributors,Spring Water 24pk,Aurora,Snacks,9,33.96,16.05,27.3,310.79,0.0,267.44,NY
07/01/2022,SO1159,Riverside Market,Trail Mix,Crestline,Beverages,79,7.92,32.85,7.15,587.47,0.0,547.47,MA
07/01/2022,SO1160,Willow Distributors,Cola 12pk,Vanta,Snacks,78,38.15,156.22,43.34,2803.3,0.0,2603.74,MD
07/01/2022,SO1161,Cedar Mart,Hand Lotion,Vanta,Household,106,6.53,36.34,35.05,677.05,0.0,605.66,MD
07/01/2022,SO1162,Pine Street Deli,Cola 12pk,Vanta,Beverages,46,19.66,47.48,44.59,883.39,0.0,791.32,MA
07/01/2022,SO1163,Harbor Wholesale,Trail Mix,Aurora,Household,70,6.42,23.59,4.24,421.05,0.0,393.22,DE
07/01/2022,SO1164,Summit Foods,Trail Mix,Aurora,Snacks,87,27.41,125.2,43.16,2254.95,0.0,2086.59,MA
07/01/2022,SO1165,Riverside Market,Damaged,Aurora,Personal Care,7,44.41,0.0,0.0,0.0,0.0,615.03,
08/01/2022,SO1166,Pine Street Deli,Spring Water 24pk,Vanta,Snacks,35,23.23,38.22,18.9,694.14,0.0,637.02,PA
08/01/2022,SO1167,Cedar Mart,Spring Water 24pk,Crestline,Snacks,43,20.82,42.09,45.32,788.84,0.0,701.43,PA
08/01/2022,SO1168,Lakeside Provisions,Spring Water 24pk,Northwind,Snacks,43,21.25,42.96,12.68,771.56,0.0,715.92,DE
08/01/2022,SO1169,Pine Street Deli,Trail Mix,Northwind,Beverages,118,22.68,125.81,2.82,2225.45,0.0,2096.82,NJ
08/01/2022,SO1170,Pine Street Deli,Cola 12pk,Northwind,Household,96,35.22,158.95,41.14,2849.18,0.0,2649.09,CT
08/01/2022,SO1171,Cedar Mart,Dish Soap,Aurora,Personal Care,43,34.33,69.4,29.17,1255.16,0.0,1156.59,PA
08/01/2022,SO1172,Cedar Mart,Spring Water 24pk,Vanta,Beverages,66,19.81,61.46,23.89,1109.74,0.0,1024.39,CT
08/01/2022,SO1173,Willow Distributors,Dish Soap,Crestline,Beverages,29,39.48,53.82,11.18,962.04,0.0,897.04,NJ
08/01/2022,SO1174,Willow Distributors,Cola 12pk,Northwind,Beverages,10,36.69,17.25,48.9,353.61,0.0,287.46,MD
08/01/2022,SO1175,Willow Distributors,Spring Water 24pk,Crestline,Snacks,49,4.81,11.08,44.56,240.3,0.0,184.66,CT
08/01/2022,SO1176,Pine Street Deli,Trail Mix,Vanta,Personal Care,89,44.7,187.02,3.69,3307.68,0.0,3116.97,DE
08/01/2022,SO1177,Riverside Market,Hand Lotion,Vanta,Household,103,32.21,155.96,3.77,2759.07,0.0,2599.34,CT
08/01/2022,SO1178,Oakwood Retail,Spring Water 24pk,Crestline,Snacks,51,29.43,70.56,34.79,1281.32,0.0,1175.97,PA
08/01/2022,SO1179,Cedar Mart,Dish Soap,Vanta,Personal Care,35,44.82,73.74,34.85,1337.66,0.0,1229.07,MD
08/01/2022,SO1180,Cedar Mart,Spring Water 24pk,Aurora,Household,7,40.85,13.44,2.27,239.75,0.0,224.04,PA
08/01/2022,SO1181,Riverside Market,Hand Lotion,Crestline,Beverages,16,43.27,32.55,2.89,577.87,0.0,542.43,DE
08/01/2022,SO1182,Lakeside Provisions,Spring Water 24pk,Vanta,Snacks,106,22.14,110.32,31.01,1980.06,0.0,1838.73,MA
08/01/2022,SO1183,Willow Distributors,Hand Lotion,Crestline,Personal Care,12,10.13,5.71,32.34,133.29,0.0,95.24,MD
08/01/2022,SO1184,Harbor Wholesale,Dish Soap,Aurora,Snacks,12,17.84,10.06,29.18,206.97,0.0,167.73,PA
08/01/2022,SO1185,Cedar Mart,Spring Water 24pk,Vanta,Beverages,96,18.13,81.82,13.0,1458.48,0.0,1363.66,DE
08/01/2022,SO1186,Summit Foods,Dish Soap,Northwind,Beverages,31,32.32,47.1,26.8,858.9,0.0,785.0,MA
08/01/2022,SO1187,Riverside Market,Trail Mix,Vanta,Beverages,37,20.27,35.26,30.14,653.01,0.0,587.61,CT
08/01/2022,SO1188,Summit Foods,Hand Lotion,Aurora,Household,116,9.83,53.6,45.55,992.55,0.0,893.4,MA
09/01/2022,SO1189,Lakeside Provisions,Hand Lotion,Crestline,Personal Care,51,41.61,95.49,4.14,1691.21,0.0,1591.58,NY
09/01/2022,SO1190,Birch & Co,Trail Mix,Vanta,Personal Care,34,39.37,60.24,2.26,1066.44,0.0,1003.94,NY
09/01/2022,SO1191,Riverside Market,Dish Soap,Northwind,Personal Care,37,35.66,59.37,24.02,1072.95,0.0,989.56,PA
09/01/2022,SO1192,Maple Grocers,Dish Soap,Crestline,Household,115,9.32,48.23,29.71,881.79,0.0,803.85,MD
09/01/2022,SO1193,Summit Foods,Hand Lotion,Vanta,Personal Care,67,19.51,58.82,41.46,1080.66,0.0,980.38,PA
09/01/2022,SO1194,Birch & Co,Cola 12pk,Crestline,Personal Care,53,38.21,91.13,23.43,1633.41,0.0,1518.85,CT
09/01/2022,SO1195,Harbor Wholesale,Trail Mix,Crestline,Personal Care,103,8.62,39.95,0.68,706.53,0.0,665.9,NY
09/01/2022,SO1196,Maple Grocers,Dish Soap,Vanta,Personal Care,59,39.32,104.39,40.65,1884.95,0.0,1739.91,DE
09/01/2022,SO1197,Lakeside Provisions,Trail Mix,Vanta,Personal Care,99,34.5,153.7,45.66,2760.98,0.0,2561.62,NJ
09/01/2022,SO1198,Birch & Co,Cola 12pk,Northwind,Household,27,35.3,42.89,47.24,804.95,0.0,714.82,MD
09/01/2022,SO1199,Cedar Mart,Spring Water 24pk,Aurora,Personal Care,78,18.87,66.23,12.05,1182.18,0.0,1103.9,NJ
09/01/2022,SO1200,Lakeside Provisions,Trail Mix,Northwind,Beverages,77,8.42,29.18,47.7,563.14,0.0,486.26,CT
09/01/2022,SO1201,Oakwood Retail,Cola 12pk,Crestline,Personal Care,81,11.7,42.65,43.91,797.34,0.0,710.78,DE
09/01/2022,SO1202,Oakwood Retail,Cola 12pk,Aurora,Personal Care,108,28.96,140.75,17.91,2504.42,0.0,2345.76,PA
